seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω
0	1	0.000581930523879115	0.0	0.0027383945240033736	0.0027383945240038177	0.0027383945240038177	0.002662559127458608	0.0027433308484742236	10.0	6.0	0.02	4.4
1	1	0.0005173775154737603	4.773959005888173e-15	0.0024329474814828167	0.0024329474814828167	0.0024329474814825947	0.0024155968608357004	0.002436633320242798	10.0	6.0	0.02	4.4
2	1	0.0005735133935329539	2.55351295663786e-15	0.0026962451783052455	0.0026962451783052455	0.0026962451783054675	0.0027009957405653706	0.0027018665913315365	10.0	6.0	0.02	4.4
3	1	0.0005822897041862785	3.6637359812630166e-15	0.0027375387136844287	0.0027375387136846507	0.0027375387136844287	0.0027367805744071827	0.0027421006039841656	10.0	6.0	0.02	4.4
4	1	0.0005953892122355642	5.551115123125783e-16	0.0027972922808927603	0.0027972922808929823	0.0027972922808927603	0.0028418983510801743	0.0028022946001883264	10.0	6.0	0.02	4.4
5	1	0.0006122530474590437	3.9968028886505635e-15	0.002878153954685825	0.002878153954686047	0.002878153954685825	0.002886098779592672	0.0028837196536216636	10.0	6.0	0.02	4.4
6	1	0.00048767681174965993	3.552713678800501e-15	0.00229232096820009	0.002292320968199868	0.002292320968199868	0.002302249412308721	0.0022956470302569754	10.0	6.0	0.02	4.4
7	1	0.000600186213559839	2.7755575615628914e-15	0.002823101005295481	0.002823101005295703	0.0028231010052952588	0.002779788648531456	0.002828109870246731	10.0	6.0	0.02	4.4
8	1	0.0005410126865358356	4.440892098500626e-16	0.0025398349761603933	0.0025398349761601713	0.0025398349761603933	0.002634078927418071	0.0025444022207704586	10.0	6.0	0.02	4.4
9	1	0.0005950520990272157	2.4424906541753444e-15	0.0027969410909013392	0.0027969410909017833	0.0027969410909013392	0.0028153274737087175	0.0028025658014756427	10.0	6.0	0.02	4.4
0	2	0.000581930523879115	0.0	0.003449257245376147	0.0034492572453763692	0.0034492572453763692	0.003423759672889215	0.0034486011906126324	10.0	6.0	0.02	4.4
