seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω	δ
0	1	0.00033652848727161455	1.0547118733938987e-14	0.003564056060751053	0.003564056060751164	0.003564056060751164	0.003805691046716353	0.0035717121306855226	10.0	6.0	0.02	4.4	0.3
1	1	0.00038941783168799926	7.693845560652335e-14	0.02013252956811118	0.02013252956811118	0.02013252956811118	0.020839530811132767	0.02013356587867432	10.0	6.0	0.02	4.4	0.3
2	1	0.00043211898319706066	6.705747068735946e-14	0.03743148587191503	0.03743148587191503	0.03743148587191503	0.0381267422753897	0.03743560203751195	10.0	6.0	0.02	4.4	0.3
3	1	3.799898530021384e-5	1.0658141036401503e-14	0.06924751277183072	0.06924751277183083	0.0692475127718305	0.06858562332208895	0.06923660858171365	10.0	6.0	0.02	4.4	0.3
4	1	0.0002014565637967758	1.4210854715202004e-14	0.05130277636062086	0.051302776360621305	0.05130277636062086	0.051146204278967655	0.051296436462135664	10.0	6.0	0.02	4.4	0.3
5	1	0.0004457089070096787	1.2656542480726785e-13	0.0602204461604241	0.0602204461604241	0.0602204461604241	0.0605826185963626	0.06021583214522985	10.0	6.0	0.02	4.4	0.3
6	1	0.0003922687834285732	9.64783808399261e-14	0.023756547324489286	0.023756547324489174	0.023756547324489063	0.024487752496394455	0.023756370333532617	10.0	6.0	0.02	4.4	0.3
7	1	0.0003910209346448257	3.3639757646142243e-14	0.010006114199632488	0.010006114199632488	0.010006114199632488	0.010593685971450606	0.01000862807811953	10.0	6.0	0.02	4.4	0.3
8	1	0.0003071428568209855	3.7414515929867775e-14	0.037052009068008096	0.037052009068008096	0.037052009068008096	0.03716007170093316	0.03704620451473717	10.0	6.0	0.02	4.4	0.3
9	1	0.0005636065787162359	5.562217353372034e-14	0.04929936722937067	0.049299367229370894	0.04929936722937067	0.04989482272181578	0.04928775372870475	10.0	6.0	0.02	4.4	0.3
0	2	0.00033652848727161455	1.0547118733938987e-14	0.0017868647803496174	0.0017868647803493953	0.0017868647803496174	0.0017595881220597853	0.001785425646983918	10.0	6.0	0.02	4.4	0.3
