seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	1	0.02740462751759709	0.014744064331757012	0.014744064331757234	0.014744064331757567	0.014872168367472516	0.014745498079246966	0.014744064331757567	0.014872168367472516	0.014745498079247188	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	1	0.03137195217055233	0.014420120117268453	0.014420120117268453	0.014420120117268342	0.014477804916851134	0.01442145245220594	0.014420120117268564	0.014477804916851134	0.014421452452205719	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	1	0.03199081858071284	0.015558163548705428	0.015558163548705428	0.015558163548705317	0.015596591689154615	0.015560402306343035	0.015558163548705317	0.015596591689154615	0.015560402306343035	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	1	0.02812687646914891	0.014093556087079073	0.014093556087079295	0.014093556087079406	0.014222514546171627	0.014095049213852517	0.014093556087079517	0.014222514546171405	0.01409504921385285	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	1	0.034256706690381056	0.018699178630193436	0.018699178630193214	0.018699178630193103	0.018756255589362558	0.018701716529981427	0.018699178630193103	0.018756255589362558	0.01870171652998165	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	1	0.030841508247599236	0.016402207823347226	0.016402207823347448	0.016402207823347115	0.016386965536316245	0.01640340464119394	0.016402207823347337	0.016386965536316245	0.01640340464119394	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	1	0.026706860844592617	0.015618622575593988	0.015618622575593988	0.015618622575594321	0.01560758521903649	0.015620700899083295	0.015618622575594543	0.01560758521903638	0.015620700899083184	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	1	0.03348462043258149	0.013257407217394435	0.013257407217394546	0.013257407217394657	0.013239303472613706	0.013258076865285684	0.013257407217394657	0.013239303472613484	0.013258076865285906	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	1	0.025804868010766313	0.013775481726910455	0.013775481726910455	0.013775481726910899	0.013799138803840094	0.013776872100161874	0.013775481726910788	0.013799138803839872	0.013776872100161874	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	1	0.03285359010982636	0.012429719980549647	0.012429719980549647	0.01242971998054998	0.012437529111373746	0.012428831331999568	0.012429719980549758	0.012437529111373524	0.012428831331999346	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
